,roll_number,full_address,has_garden,total_assessed_value,street_number,street_name,property_use_code,geometry,centroid_lat,centroid_lon,n_s,position
527,12081924000.0,152 LENORE STREET,True,456000.0,152.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17223482030624 49.88198787754088, -97.17184483870302 49.8819759337458, -97.1718381959185 49.88206625491159, -97.17222811978114 49.88207819871459, -97.17223482030624 49.88198787754088)))",49.88202706513578,-97.17203649439703,North,Central
530,12083063000.0,152 WALNUT STREET,True,220000.0,152.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16438139720516 49.88264204372626, -97.16398520190963 49.88263150738941, -97.16397894104684 49.882717068715934, -97.1643751075723 49.88272760429141, -97.16438139720516 49.88264204372626)))",49.88267955551302,-97.1641801619729,North,East
532,12081521000.0,153 AUBREY STREET,True,264000.0,153.0,AUBREY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17515746436153 49.87919221838932, -97.17477099909772 49.87918041872089, -97.17476412584391 49.879271029405565, -97.17515061147685 49.87928282853265, -97.17515746436153 49.87919221838932)))",49.87923162414577,-97.17496079975248,South,Central
537,12081837000.0,153 LENORE STREET,True,292000.0,153.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17116183804653 49.88213609526959, -97.17155191073283 49.88214801670961, -97.17155855406656 49.88205769556755, -97.17116842951056 49.882045766132016, -97.17116183804653 49.88213609526959)))",49.88209689233944,-97.17136018086134,North,Central
541,12081925000.0,154 LENORE STREET,True,309000.0,154.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17222811978114 49.88207819871459, -97.1718381959185 49.88206625491159, -97.17183155174737 49.882156575154504, -97.17222142061772 49.88216851990821, -97.17222811978114 49.88207819871459)))",49.88211738614336,-97.17202982304022,North,Central
542,12082073000.0,154 RUBY STREET,True,303000.0,154.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17336902589727 49.88193199771658, -97.17337875238125 49.88180315986807, -97.17298861602883 49.88179121837816, -97.1729789768022 49.88192007736325, -97.17336902589727 49.88193199771658)))",49.88186161074945,-97.1731788383121,North,Central
543,12083062000.0,154 WALNUT STREET,True,319000.0,154.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16437510757264 49.88272760428243, -97.16397894103326 49.88271706870673, -97.16397232990685 49.882807416065575, -97.16436846604593 49.8828179508461, -97.16437510757264 49.88272760428243)))",49.8827675093976,-97.16417371118688,North,East
560,12082279000.0,157 EVANSON STREET,True,213000.0,157.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17016876622945 49.88211984412457, -97.17050011914164 49.882129985794336, -97.17050637523364 49.882044436741246, -97.17017503685122 49.88203429441644, -97.17016876622945 49.88211984412457)))",49.8820821405692,-97.17033757398706,North,Central
572,12081270000.0,159 GARFIELD STREET S,True,351000.0,159.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17683935896548 49.881527086287704, -97.17722624096594 49.881538912368164, -97.17723309219393 49.88144858971243, -97.17684621651142 49.88143676285127, -97.17683935896548 49.881527086287704)))",49.88148783791578,-97.17703622680318,North,Central
574,12083014000.0,159 WALNUT STREET,True,175000.0,159.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16327111596412 49.88300670850167, -97.16370211414124 49.88301819665322, -97.16370712426047 49.88294973670445, -97.16331851138312 49.8829393791865, -97.16327612943932 49.88293824952131, -97.16327111596412 49.88300670850167)))",49.88297822292127,-97.16348912143688,North,East
575,12082139000.0,16 ARLINGTON STREET,True,290000.0,16.0,ARLINGTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17043184695773 49.87782092252889, -97.17043887040357 49.877725081762165, -97.17010086145812 49.877714715003755, -97.1700938207008 49.87781055566878, -97.1704201963413 49.87782056524075, -97.17043184695773 49.87782092252889)))",49.87776781915108,-97.1702663497299,South,Central
582,12082076000.0,160 RUBY STREET,True,376000.0,160.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17334858157973 49.8822028039863, -97.17335539639349 49.882112534932084, -97.1729654699739 49.88210064525749, -97.17295871653215 49.88219092875211, -97.17334858157973 49.8822028039863)))",49.88215172689208,-97.17315703669644,North,Central
583,12081367000.0,160 SHERBURN STREET,True,293000.0,160.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17634884700259 49.88198453871978, -97.17673576055512 49.88199636062116, -97.17674262082801 49.8819060462342, -97.17635571240548 49.88189421813648, -97.17634884700259 49.88198453871978)))",49.88194529094917,-97.17654573292818,North,Central
585,12082277000.0,161 EVANSON STREET,True,231000.0,161.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17048760823633 49.88230108481606, -97.17049386298946 49.8822155357446, -97.17016249415623 49.882205394707896, -97.170156223482 49.88229094441244, -97.17048760823633 49.88230108481606)))",49.882253240249966,-97.17032504683024,North,Central
587,12081840000.0,161 LENORE STREET,True,352000.0,161.0,LENORE,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.17153862116095 49.8823286598428, -97.17114865645628 49.882316752661715, -97.17114206490487 49.882407081793296, -97.17153197634799 49.88241898095693, -97.17153862116095 49.8823286598428)))",49.882367867706506,-97.17134032749924,North,Central
589,12081397000.0,161 SHERBURN STREET,True,287000.0,161.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17567542476145 49.882054484862344, -97.17606229853938 49.88206630208845, -97.17606916713927 49.881975985169106, -97.17568230266507 49.881964161812434, -97.17567542476145 49.882054484862344)))",49.882015233584816,-97.17587229597882,North,Central
590,12083015000.0,161 WALNUT STREET,True,363000.0,161.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16326610386336 49.88307516750293, -97.1636971054306 49.88308665572392, -97.16370211414124 49.88301819665322, -97.16327111596412 49.88300670850167, -97.16326610386336 49.88307516750293)))",49.88304668214,-97.1634841098356,North,East
603,12083016000.0,163 WALNUT STREET,True,222000.0,163.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16326250292786 49.88312434376189, -97.16326109032045 49.88314362737996, -97.16369209527781 49.8831551156704, -97.1636971054306 49.88308665572392, -97.16326610386336 49.88307516750293, -97.16326250292786 49.88312434376189)))",49.88311514161422,-97.16347909880989,North,East
607,12082315000.0,164 EVANSON STREET,True,294000.0,164.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17108054989221 49.88231925088009, -97.17074182526568 49.88230890728961, -97.17073556770983 49.882394468020564, -97.17107430701519 49.88240480736058, -97.17108054989221 49.88231925088009)))",49.882356858642254,-97.17090806090197,North,Central
608,12082078000.0,164 RUBY STREET,True,356000.0,164.0,RUBY,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.17295196306068 49.8822812122447, -97.17294520952558 49.882371496634235, -97.17333495189635 49.88238334118965, -97.17334176673606 49.88229307303847, -97.17295196306068 49.8822812122447)))",49.882332279415806,-97.1731434677352,North,Central
615,12083017000.0,165 WALNUT STREET,True,295000.0,165.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16325607679485 49.88321208635688, -97.16368708514236 49.883223574716766, -97.16369209527781 49.8831551156704, -97.16326109032045 49.88314362737996, -97.16325607679485 49.88321208635688)))",49.88318360107556,-97.16347408686964,North,East
619,12082314000.0,166 EVANSON STREET,True,259000.0,166.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17107430701519 49.88240480736058, -97.17073556770983 49.882394468020564, -97.17072931151904 49.88248002877168, -97.17106806411203 49.88249036383928, -97.17107430701519 49.88240480736058)))",49.88244241722353,-97.17090181102914,North,Central
625,12082847000.0,167 CANORA STREET,True,372000.0,167.0,CANORA,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16554644210488 49.882984972864904, -97.16594372212684 49.882995561038435, -97.16595188774691 49.8828843427659, -97.16555463232012 49.88287375410577, -97.16554644210488 49.882984972864904)))",49.88293465825656,-97.16574917069332,North,Central
630,12083074000.0,168 CHESTNUT STREET,True,500000.0,168.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16510600649823 49.88257556554435, -97.16550786239995 49.88258627983643, -97.16551542299914 49.88248360521443, -97.16511358745839 49.88247289073613, -97.16510600649823 49.88257556554435)))",49.882529585758896,-97.16531071956972,North,East
635,12082080000.0,168 RUBY STREET,True,407000.0,168.0,RUBY,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.1729384559947 49.88246178012281, -97.1729317024341 49.88255206360935, -97.17332132066807 49.882563879261944, -97.1733281369928 49.88247361023778, -97.1729384559947 49.88246178012281)))",49.882512831941256,-97.17312989960826,North,Central
644,12083018000.0,169 WALNUT STREET,True,241000.0,169.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16325106464372 49.8832805453547, -97.16368207634724 49.883292034682995, -97.16368708514236 49.883223574716766, -97.16325607679485 49.88321208635688, -97.16325106464372 49.8832805453547)))",49.88325206033537,-97.16346907618896,North,East
646,12082132000.0,17 EVANSON STREET,True,355000.0,17.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17081835054476 49.87777787857072, -97.17082372546902 49.87770435959945, -97.17049737257058 49.877694351250064, -97.17049198441032 49.87776786999064, -97.17081835054476 49.87777787857072)))",49.87773611509897,-97.17065785816582,South,Central
651,12082810000.0,170 CANORA STREET,True,440000.0,170.0,CANORA,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16622683698046 49.882956869708686, -97.16661687806624 49.88296778604388, -97.1666249515392 49.88285838955321, -97.16623487481485 49.88284738993206, -97.16622683698046 49.882956869708686)))",49.882907607149704,-97.16642586103244,North,Central
654,12082313000.0,170 EVANSON STREET,True,321000.0,170.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17106806411203 49.88249036383928, -97.17072931151904 49.88248002877168, -97.17072305530208 49.882565589521, -97.17106182118275 49.88257592031618, -97.17106806411203 49.88249036383928)))",49.882527975837554,-97.1708955614691,North,Central
657,12082081000.0,170 RUBY STREET,True,445000.0,170.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1729249488438 49.882642347093885, -97.17331450573856 49.88265414740705, -97.17332132066807 49.882563879261944, -97.1729317024341 49.88255206360935, -97.1729249488438 49.882642347093885)))",49.88260310799247,-97.17312311467477,North,Central
672,12082262000.0,173 EVANSON STREET,True,231000.0,173.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17046258332913 49.88264328279411, -97.17013113767231 49.88263314496666, -97.17012486547569 49.882718694640275, -97.17045632705388 49.882728831834676, -97.17046258332913 49.88264328279411)))",49.88268098888858,-97.170293727997,North,Central
674,12081844000.0,173 LENORE STREET,True,339000.0,173.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17151868799141 49.882599624100045, -97.17112888313987 49.88258773917349, -97.17112229292628 49.88267806742207, -97.17151204305652 49.882689946107114, -97.17151868799141 49.882599624100045)))",49.88263884308746,-97.17132047521544,North,Central
708,12081846000.0,177 LENORE STREET,True,420000.0,177.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17150479567076 49.88278845610277, -97.17111510345869 49.88277659015741, -97.17110911098652 49.88285872479028, -97.17149875313277 49.882870589216274, -97.17150479567076 49.88278845610277)))",49.882823589187346,-97.17130694087862,North,Central
709,12081891000.0,177 RUBY STREET,True,257000.0,177.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17229589310251 49.88208027482756, -97.17268581862358 49.88209221711517, -97.17269257540603 49.88200189500695, -97.17230259353559 49.881989952749585, -97.17229589310251 49.88208027482756)))",49.88204108385899,-97.17249422087808,North,Central
718,12082794000.0,179 ETHELBERT STREET,True,403000.0,179.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16672891883412 49.88236799167292, -97.16711906701465 49.882378900198724, -97.16712576439137 49.88228855542149, -97.16673557489902 49.882277645748665, -97.16672891883412 49.88236799167292)))",49.88232827246338,-97.1669273313466,North,Central
721,12081892000.0,179 RUBY STREET,True,423000.0,179.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17228919267386 49.882170596004556, -97.17267906181137 49.88218253922137, -97.17268581862358 49.88209221711517, -97.17229589310251 49.88208027482756, -97.17228919267386 49.882170596004556)))",49.882131405736715,-97.172487492587,North,Central
736,12082850000.0,181 CANORA STREET,True,361000.0,181.0,CANORA,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16591922354078 49.88332921761371, -97.16592738932815 49.88321799845132, -97.16553006296616 49.8832074094971, -97.16552187400862 49.88331862826913, -97.16591922354078 49.88332921761371)))",49.88326831399609,-97.16572463735372,North,Central
747,12082851000.0,183 CANORA STREET,True,318000.0,183.0,CANORA,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16552187400862 49.88331862826913, -97.16551368364935 49.883429846117146, -97.16591105774306 49.88344043587411, -97.16591922354078 49.88332921761371, -97.16552187400862 49.88331862826913)))",49.883379532539074,-97.1657164596214,North,Central
750,12081848000.0,183 LENORE STREET,True,307000.0,183.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17149345085673 49.88294267475263, -97.17110385048646 49.88293081159138, -97.17109839040756 49.883005644674995, -97.1714879461933 49.88301750006034, -97.17149345085673 49.88294267475263)))",49.8829741569641,-97.17129590676028,North,Central
754,12082813000.0,184 CANORA STREET,True,356000.0,184.0,CANORA,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16619870310336 49.88334006370986, -97.16658862067877 49.88335064921484, -97.16659669499803 49.88324125275446, -97.16620674108836 49.88323058394351, -97.16619870310336 49.88334006370986)))",49.88329063574966,-97.16639766564764,North,Central
756,12082679000.0,184 ETHELBERT STREET,True,497000.0,184.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16778465899625 49.88242075182134, -97.16739698636637 49.88241070142573, -97.16738853897704 49.882524672309394, -97.16777601309302 49.882534732184055, -97.16778465899625 49.88242075182134)))",49.88247270970447,-97.16758655385846,North,Central
760,12082852000.0,185 CANORA STREET,True,343000.0,185.0,CANORA,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16551368364935 49.883429846117146, -97.1655054932115 49.88354106486109, -97.16590289047559 49.883551655008425, -97.16591105774306 49.88344043587411, -97.16551368364935 49.883429846117146)))",49.88349075100341,-97.16570828116268,North,Central
762,12082796000.0,185 ETHELBERT STREET,True,368000.0,185.0,ETHELBERT,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16671280246995 49.882586766256466, -97.16710285696631 49.88259758519558, -97.16711096272476 49.88248824226014, -97.16672086069059 49.88247737851669, -97.16671280246995 49.882586766256466)))",49.882537491513155,-97.16691185790258,North,Central
773,12081529000.0,187 AUBREY STREET,True,340000.0,187.0,AUBREY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17470596353816 49.88003711980255, -97.17469911326332 49.88012744686176, -97.1750855224153 49.88013928529365, -97.17509240254378 49.880048959584556, -97.17470596353816 49.88003711980255)))",49.88008820229872,-97.1748957503295,South,Central
774,12083042000.0,187 CHESTNUT STREET,True,392000.0,187.0,CHESTNUT,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16439107801997 49.88343444726904, -97.16478700358658 49.883444995374845, -97.16479357576793 49.883356010248, -97.16439761916341 49.883345461327856, -97.16439107801997 49.88343444726904)))",49.88339522797378,-97.16459231918196,North,East
775,12082512000.0,187 HOME STREET,True,399000.0,187.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16786301644827 49.882287804584195, -97.16785628157831 49.88237819065895, -97.1682772730242 49.88239052547487, -97.16828396214152 49.88230022410901, -97.16786301644827 49.882287804584195)))",49.8823391859306,-97.16807009990356,North,Central
791,12082131000.0,19 EVANSON STREET,True,264000.0,19.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1704919843964 49.87776786999042, -97.17048666624528 49.877840430489464, -97.17081304590792 49.87785043839618, -97.17081835053084 49.8777778785705, -97.1704919843964 49.87776786999042)))",49.87780915459832,-97.1706525113449,South,Central
793,12090126000.0,19 KNAPPEN AVENUE,True,277000.0,19.0,KNAPPEN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16159662219427 49.885154455812824, -97.16157723434065 49.88542868604229, -97.16178918689896 49.88543491707517, -97.16180877488848 49.88516051454206, -97.16159662219427 49.885154455812824)))",49.88529462348601,-97.1616929674662,North,East
795,12081457000.0,190 AUBREY STREET,True,443000.0,190.0,AUBREY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17576544891202 49.87997903350398, -97.1757723235005 49.879888709469924, -97.17538577537279 49.87987687742879, -97.17537889585836 49.87996720226531, -97.17576544891202 49.87997903350398)))",49.87992795575113,-97.17557561056456,South,Central
804,12082514000.0,191 HOME STREET,True,331000.0,191.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16784954667865 49.882468576731675, -97.16784281178336 49.88255896190342, -97.16826389476913 49.88257112640264, -97.16827058391141 49.88248082593975, -97.16784954667865 49.882468576731675)))",49.88251987248174,-97.16805667588982,North,Central
807,12082814000.0,192 CANORA STREET,True,523000.0,192.0,CANORA,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16619066507533 49.88344954347327, -97.1665805477076 49.88346004569428, -97.16658862067877 49.88335064921484, -97.16619870310336 49.88334006370986, -97.16619066507533 49.88344954347327)))",49.88340007390448,-97.16638960981432,North,Central
808,12083084000.0,192 CHESTNUT STREET,True,372000.0,192.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16503503612174 49.88353664699206, -97.16543709687028 49.88354736175707, -97.16544334659558 49.883462474032264, -97.16504130503867 49.883451758150194, -97.16503503612174 49.88353664699206)))",49.88349956055136,-97.16523919549032,North,East
818,12083141000.0,193 WALNUT STREET,True,145000.0,193.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16319172010965 49.88409103087351, -97.16362276357256 49.88410253348434, -97.16362777436697 49.88403406276622, -97.16319673161422 49.88402255748387, -97.16319172010965 49.88409103087351)))",49.884062546121186,-97.16340974600668,North,East
824,12083140000.0,194 WALNUT STREET,True,537000.0,194.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16427086747983 49.88414370284437, -97.1642776655204 49.88405142524087, -97.1638820738978 49.88404087972698, -97.16387547522518 49.88413105337799, -97.16427086747983 49.88414370284437)))",49.88409178674016,-97.16407728117676,North,East
827,12083045000.0,195 CHESTNUT STREET,True,433000.0,195.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16437235920452 49.88368908602197, -97.1647681988577 49.883699631868076, -97.16477456756625 49.883613392984834, -97.16437869891084 49.88360284637401, -97.16437235920452 49.88368908602197)))",49.88365123878579,-97.16457345617664,North,East
829,12082516000.0,195 HOME STREET,True,392000.0,195.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16825720559736 49.88266142686351, -97.16783607543307 49.88264934795012, -97.16782934044434 49.882739734016795, -97.1682505163961 49.88275172732238, -97.16825720559736 49.88266142686351)))",49.882700558778595,-97.16804325072218,North,Central
831,12081897000.0,195 RUBY STREET,True,244000.0,195.0,RUBY,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.1726520342991 49.88254382672704, -97.17226239202124 49.882531881613346, -97.17225569144495 49.88262220278028, -97.17264527733819 49.882634148823136, -97.1726520342991 49.88254382672704)))",49.88258301392972,-97.17245384981,North,Central
837,12082305000.0,196 EVANSON STREET,True,360000.0,196.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17067300323255 49.883250075429146, -97.1710118739912 49.88326037292214, -97.17101801861932 49.88317618539373, -97.17067915956707 49.883165883603134, -97.17067300323255 49.883250075429146)))",49.883213129525046,-97.17084551227796,North,Central
838,12082571000.0,196 HOME STREET,True,605000.0,196.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16853013736724 49.88276060013517, -97.16895566445044 49.88277375611733, -97.16896235308936 49.88268343582614, -97.16853682815449 49.8826702807982, -97.16853013736724 49.88276060013517)))",49.88272201826912,-97.16874624611025,North,Central
847,12081461000.0,198 AUBREY STREET,True,384000.0,198.0,AUBREY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1757448249317 49.88025000649289, -97.17535825855902 49.880238175885545, -97.17535138031504 49.88032850073581, -97.17573795022253 49.88034033051879, -97.1757448249317 49.88025000649289)))",49.880289253465556,-97.17554810317012,South,Central
850,12082572000.0,198 HOME STREET,True,484000.0,198.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16852344794174 49.882850919492114, -97.168948975782 49.88286407640649, -97.16895566445044 49.88277375611733, -97.16853013736724 49.88276060013517, -97.16852344794174 49.882850919492114)))",49.88281233806336,-97.16873955674026,North,Central
852,12083138000.0,198 WALNUT STREET,True,273000.0,198.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16426484321738 49.88422548728078, -97.1638694903138 49.88421283906803, -97.16386329232462 49.88429753623366, -97.16425860428782 49.884310183141224, -97.16426484321738 49.88422548728078)))",49.88426151070006,-97.16406405759136,North,East
868,12082245000.0,200 ARLINGTON STREET,True,9110000.0,200.0,ARLINGTON,RESAP - APARTMENTS,"MULTIPOLYGON (((-97.16965965606212 49.883719801750566, -97.17038224351248 49.88374187409354, -97.17043981093553 49.88295468230964, -97.16971749878695 49.882932597526086, -97.16965965606212 49.883719801750566)))",49.88333726373076,-97.17004979891064,North,Central
872,12082573000.0,200 HOME STREET,True,361000.0,200.0,HOME,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16851675709549 49.882941238825076, -97.16894228847534 49.88295439671564, -97.168948975782 49.88286407640649, -97.16852344794174 49.882850919492114, -97.16851675709549 49.882941238825076)))",49.88290265793407,-97.16873286765843,North,Central
879,12081348000.0,201 GARFIELD STREET S,True,414000.0,201.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17680356884061 49.88199843374732, -97.17719048384396 49.88201025954887, -97.17719733492423 49.88191994499445, -97.17681042623886 49.881908118412234, -97.17680356884061 49.88199843374732)))",49.88195918928658,-97.17700045310586,North,Central
880,12081670000.0,201 LIPTON STREET,True,483000.0,201.0,LIPTON,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.17376462273788 49.882911698790586, -97.1733639589983 49.88289934628223, -97.1733557004483 49.88300875733733, -97.1737563160908 49.88302111720763, -97.17376462273788 49.882911698790586)))",49.88296022890808,-97.17356015234328,North,Central
895,12082519000.0,203 HOME STREET,True,357000.0,203.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16823713787109 49.88293232913304, -97.1678158703778 49.88292050614408, -97.16780913529998 49.8830108922047, -97.16823044858135 49.88302262958587, -97.16823713787109 49.88293232913304)))",49.88297158902787,-97.16802311428545,North,Central
896,12081900000.0,203 RUBY STREET,True,335000.0,203.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17263176332717 49.88281479300929, -97.1722422901698 49.8828028460071, -97.17223558950491 49.882893167168014, -97.17262500627704 49.88290511509934, -97.17263176332717 49.88281479300929)))",49.88285397926424,-97.17243366335384,North,Central
905,12082801000.0,205 ETHELBERT STREET,True,413000.0,205.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16667250797207 49.88313370396833, -97.16706232901845 49.88314429715373, -97.16707043499325 49.883034954233, -97.16668056779938 49.88302431626524, -97.16667250797207 49.88313370396833)))",49.883084316399824,-97.16687144712768,North,Central
907,12081853000.0,205 LENORE STREET,True,509000.0,205.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1710695630429 49.88340069772409, -97.17145888544015 49.88341251853962, -97.17146552921838 49.883322196526635, -97.17107615491474 49.883310368614424, -97.1710695630429 49.88340069772409)))",49.883361444279814,-97.1712675312496,North,Central
909,12083147000.0,205 WALNUT STREET,True,383000.0,205.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1632134185068 49.88436603733692, -97.16317167392343 49.88436492442062, -97.16316797546075 49.88441545377128, -97.1631616507637 49.88450187028834, -97.16359269991302 49.88451335599316, -97.16359770938277 49.88444488615883, -97.163209045609 49.88443452667198, -97.1632134185068 49.88436603733692)))",49.88446683626003,-97.16336283158884,North,East
911,12083089000.0,206 CHESTNUT STREET,True,187000.0,206.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1649886833556 49.88416363566611, -97.16542308985485 49.88417543178058, -97.16543009521047 49.884082138599055, -97.1649955769529 49.88407055982016, -97.1649886833556 49.88416363566611)))",49.88412294206046,-97.16520944690916,North,East
912,12082674000.0,206 ETHELBERT STREET,True,401000.0,206.0,ETHELBERT,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16774142774561 49.882990649984606, -97.16735474759247 49.882980554891105, -97.16734629996812 49.88309452575878, -97.1677327816367 49.88310462943215, -97.16774142774561 49.882990649984606)))",49.883042585266836,-97.16754381848266,North,Central
917,12082520000.0,207 HOME STREET,True,277000.0,207.0,HOME,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16823044858135 49.88302262958587, -97.16780913529998 49.8830108922047, -97.16780239883525 49.88310127734234, -97.16822375926213 49.883112930036695, -97.16823044858135 49.88302262958587)))",49.88306193209509,-97.16801640208752,North,Central
924,12082085000.0,208 RUBY STREET,True,430000.0,208.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17289793411756 49.88300348280973, -97.17328724561943 49.883015222664085, -97.1732940607026 49.882924953628134, -97.17290468786065 49.882913198434316, -97.17289793411756 49.88300348280973)))",49.88296421303334,-97.1730959773288,North,Central
933,12082410000.0,21 ARLINGTON STREET,True,249000.0,21.0,ARLINGTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16939364332399 49.878001988949556, -97.16981915904903 49.878015191252715, -97.16982421730617 49.87794674768222, -97.16948496627222 49.87793622200553, -97.16939602693897 49.87796969490356, -97.16939364332399 49.878001988949556)))",49.877975945432965,-97.16961924519585,South,Central
